event_ID;admin_unit_NAME;admin_unit;flood_start;flood_end;duration
ML0101_0;BAFOULABE;ML0101;1954-08-20;1954-08-20;1
ML0101_1;BAFOULABE;ML0101;2007-08-15;2007-08-15;1
ML0101_2;BAFOULABE;ML0101;2009-09-05;2009-09-05;1
ML0101_3;BAFOULABE;ML0101;2010-05-08;2010-05-08;1
ML0101_4;BAFOULABE;ML0101;2010-06-10;2010-06-10;1
ML0101_5;BAFOULABE;ML0101;2010-08-21;2010-08-21;1
ML0101_6;BAFOULABE;ML0101;2010-09-05;2010-09-05;1
ML0101_7;BAFOULABE;ML0101;2010-09-12;2010-09-12;1
ML0101_8;BAFOULABE;ML0101;2010-09-21;2010-09-21;1
ML0101_9;BAFOULABE;ML0101;2012-06-24;2012-06-24;1
ML0101_10;BAFOULABE;ML0101;2012-08-09;2012-08-09;1
ML0101_13;BAFOULABE;ML0101;2012-08-24;2012-08-24;1
ML0101_14;BAFOULABE;ML0101;2012-08-26;2012-08-26;1
ML0101_15;BAFOULABE;ML0101;2012-08-30;2012-08-30;1
ML0101_17;BAFOULABE;ML0101;2012-09-24;2012-09-24;1
ML0101_19;BAFOULABE;ML0101;2013-05-17;2013-05-17;1
ML0101_20;BAFOULABE;ML0101;2017-06-22;2017-06-22;1
ML0102_0;DIEMA;ML0102;2012-07-22;2012-07-22;1
ML0102_1;DIEMA;ML0102;2012-07-25;2012-07-25;1
ML0103_0;KAYES;ML0103;1906-08-21;1906-08-21;1
ML0103_1;KAYES;ML0103;1995-07-17;1995-07-17;1
ML0103_2;KAYES;ML0103;1998-08-13;1998-08-13;1
ML0103_3;KAYES;ML0103;1999-08-01;1999-08-01;1
ML0103_4;KAYES;ML0103;1999-08-05;1999-08-05;1
ML0103_5;KAYES;ML0103;2004-01-31;2004-01-31;1
ML0103_6;KAYES;ML0103;2004-08-15;2004-08-15;1
ML0103_7;KAYES;ML0103;2005-09-21;2005-09-27;7
ML0103_8;KAYES;ML0103;2007-07-16;2007-07-16;1
ML0103_9;KAYES;ML0103;2007-08-15;2007-08-15;1
